Optical channel	micrometer-A	micrometer-B	Image_file_name Year
ref86	0	0	lower_fibre_86.png	2021
ref87	0	0	lower_fibre_87.png	2021
ref88	0	0	lower_fibre_88.png	2021
ref89	0	0	lower_fibre_89.png	2021
ref90	0	0	lower_fibre_90.png	2021
refa1	0	0	lower_fibre_a1.png	2021
refa2	0	0	lower_fibre_a2.png	2021
refa3	0	0	lower_fibre_a3.png	2021
refa4	0	0	lower_fibre_a4.png	2021
refb1	0	0	lower_fibre_b1.png	2021
refb2	0	0	lower_fibre_b2.png	2021
refb3	0	0	lower_fibre_b3.png	2021
refb4	0	0	lower_fibre_b4.png	2021
refc1	0	0	lower_fibre_c1.png	2021
refc2	0	0	lower_fibre_c2.png	2021
refc3	0	0	lower_fibre_c3.png	2021
refc4	0	0	lower_fibre_c4.png	2021
refd1	0	0	lower_fibre_d1.png	2021
refd2	0	0	lower_fibre_d2.png	2021
refd3	0	0	lower_fibre_d3.png	2021
refd4	0	0	lower_fibre_d4.png	2021
refe1	0	0	lower_fibre_e1.png	2021
refe2	0	0	lower_fibre_e2.png	2021
refe3	0	0	lower_fibre_e3.png	2021
refe4	0	0	lower_fibre_e4.png	2021
reff1	0	0	lower_fibre_f1.png	2021
reff2	0	0	lower_fibre_f2.png	2021
reff3	0	0	lower_fibre_f3.png	2021
reff4	0	0	lower_fibre_f4.png	2021
refg1	0	0	lower_fibre_g1.png	2021
refg2	0	0	lower_fibre_g2.png	2021
refg3	0	0	lower_fibre_g3.png	2021
refg4	0	0	lower_fibre_g4.png	2021
refh1	0	0	lower_fibre_h1.png	2021
refh2	0	0	lower_fibre_h2.png	2021
refh3	0	0	lower_fibre_h3.png	2021
refh4	0	0	lower_fibre_h4.png	2021
refi1	0	0	lower_fibre_i1.png	2021
refi2	0	0	lower_fibre_i2.png	2021
refi3	0	0	lower_fibre_i3.png	2021
refi4	0	0	lower_fibre_i4.png	2021
refj1	0	0	lower_fibre_j1.png	2021
refj2	0	0	lower_fibre_j2.png	2021
refj3	0	0	lower_fibre_j3.png	2021
refj4	0	0	lower_fibre_j4.png	2021
