Fibre No  micrometer-H micrometer-V	Image file
23	2.5	2	00000063_00000001E7908CC9_14580031.bmp
23	2.5	6.5	00000064_00000001EEB8B3DF_14637671.bmp
23	4.5	6.5	00000065_000000020054D453_14779484.bmp
23	6.5	6.5	00000066_00000002050B26E2_14817421.bmp
23	8.5	6.5	00000067_0000000209C8FD81_14855609.bmp
23	10.5	6.5	00000068_000000020D9C30DF_14886421.bmp
23	10.5	11	00000070_000000021766C2FC_14965265.bmp
23	8.5	11	00000071_000000021A6EE8AB_14989671.bmp
23	6.5	11	00000072_000000021E59A322_15021218.bmp
23	4.5	11	00000073_0000000222D01B41_15057156.bmp
23	2.5	11	00000074_0000000227652F65_15094062.bmp
51	10.5	11	00000032_0000000148CCFE2E_13301500.bmp
51	8.5	11	00000033_000000014D97F5D6_13340093.bmp
51	6.5	11	00000034_0000000151CDA662_13374000.bmp
51	4.5	11	00000035_00000001559393A9_13404375.bmp
51	2.5	11	00000036_000000015983C8EA_13436093.bmp
51	2.5	6.5	00000037_000000016081C76E_13492406.bmp
51	4.5	6.5	00000038_0000000165469FC6_13530812.bmp
51	6.5	6.5	00000039_0000000169D190F5_13567390.bmp
51	8.5	6.5	00000040_000000016DBB4CA1_13598906.bmp
51	8.5	2	00000044_000000017E7EC665_13733906.bmp
51	6.5	2	00000045_0000000182E858A5_13769421.bmp
51	4.5	2	00000046_000000018764EDFE_13805562.bmp
51	2.5	2	00000047_000000018B7E84C0_13838578.bmp
51	6.5	2	00000048_00000001941DD19A_13908015.bmp
51	6.5	4	00000049_0000000198844B06_13943453.bmp
51	6.5	6	00000050_000000019C477FB6_13973750.bmp
51	6.5	8	00000051_000000019FDC4691_14002593.bmp
51	6.5	10	00000052_00000001A4B8EF57_14041750.bmp
